DATE,CURRCIR,M1SL,M2SL,MABMM301USM189S,,
1918,4.370333333,.,.,.,,11
1919,4.728,.,.,.,,
1920,5.190333333,.,.,.,,
1921,4.664333333,.,.,.,,
1922,4.246833333,.,.,.,,
1923,4.53375,.,.,.,,
1924,4.591583333,.,.,.,,
1925,4.580416667,.,.,.,,
1926,4.644416667,.,.,.,,
1927,4.605,.,.,.,,
1928,4.495416667,.,.,.,,
1929,4.474916667,.,.,.,,
1930,4.2585,.,.,.,,
1931,4.669833333,.,.,.,,
1932,5.328083333,.,.,.,,
1933,5.57525,.,.,.,,
1934,5.40225,.,.,.,,
1935,5.584416667,.,.,.,,
1936,6.102666667,.,.,.,,
1937,6.474416667,.,.,.,,
1938,6.505083333,.,.,.,,
1939,7.056083333,.,.,.,,
1940,7.87775,.,.,.,,
1941,9.588,.,.,.,,
1942,12.67925,.,.,.,,
1943,17.60666667,.,.,.,,
1944,22.55058333,.,.,.,,
1945,26.84683333,.,.,.,,
1946,28.28991667,.,.,.,,
1947,28.42025,.,.,.,,
1948,28.06366667,.,.,.,,
1949,27.5185,.,.,.,,
1950,27.17333333,.,.,.,,
1951,27.736,.,.,.,,
1952,29.06258333,.,.,.,,
1953,30.13358333,.,.,.,,
1954,30.02816667,.,.,.,,
1955,30.24858333,.,.,.,,
1956,30.68625,.,.,.,,
1957,31.00275,.,.,.,,
1958,31.17616667,.,.,.,,
1959,31.79208333,140.4166667,293.3,.,,
1960,32.0555,140.3083333,304.2833333,3.04283E+11,,
1961,32.50275,143.05,324.8333333,3.24833E+11,,
1962,33.76741667,146.4916667,350.1,3.501E+11,,
1963,35.4965,150.9583333,379.6083333,3.79608E+11,,
1964,37.70666667,156.75,409.3166667,4.09317E+11,,
1965,39.884,163.4166667,442.45,4.4245E+11,,
1966,42.50716667,170.9666667,471.375,4.71375E+11,,
1967,44.75825,177.7,503.6416667,5.03642E+11,,
1968,47.72908333,190.075,545.3,5.453E+11,,
1969,50.87941667,201.3916667,578.725,5.78725E+11,,
1970,54.17308333,209.0916667,601.4583333,6.01458E+11,,
1971,58.07183333,223.125,674.4,6.744E+11,,
1972,62.17583333,239.025,758.1583333,7.58158E+11,,
1973,67.60608333,256.3083333,831.7583333,8.31758E+11,,
1974,73.97008333,269.1416667,880.5583333,8.80558E+11,,
1975,80.76175,281.325,963.5,9.635E+11,,
1976,88.36808333,297.1916667,1086.533333,1.08653E+12,,
1977,96.47058333,319.8833333,1221.191667,1.22119E+12,,
1978,106.139,346.15,1322.233333,1.32223E+12,,
1979,116.642,372.5583333,1425.666667,1.42567E+12,,
1980,127.5426667,395.6833333,1540.183333,1.54018E+12,,
1981,137.4699167,424.9666667,1679.291667,1.67929E+12,,
1982,147.44775,452.975,1830.925,1.83093E+12,,
1983,160.6590833,503.1666667,2054.466667,2.05447E+12,,
1984,173.9805833,538.6416667,2218.958333,2.21896E+12,,
1985,185.4145833,586.95,2416.5,2.4165E+12,,
1986,198.78775,666.2583333,2612.775,2.61278E+12,,
1987,214.6169167,743.5583333,2782.258333,2.78226E+12,,
1988,233.0936667,774.7583333,2931.116667,2.93112E+12,,
1989,247.3764167,782.15,3054.025,3.05403E+12,,
1990,266.8675833,810.5666667,3222.233333,3.22223E+12,,
1991,291.81875,858.9833333,3342.1,3.3421E+12,,
1992,312.6661667,965.8583333,3404.566667,3.40457E+12,,
1993,343.5631667,1078.391667,3439.758333,3.43976E+12,,
1994,379.1286667,1145.216667,3483.35,3.48335E+12,,
1995,407.9183333,1143.008333,3555.583333,3.55558E+12,,
1996,425.7430833,1106.816667,3728.95,3.72895E+12,,
1997,453.8421667,1070.233333,3925.725,3.92573E+12,,
1998,485.664,1080.616667,4206.458333,4.20646E+12,,
1999,535.6471667,1102.3,4517.258333,4.51726E+12,,
2000,572.01975,1103.7,4790.141667,4.79014E+12,,
2001,601.0930833,1140.241667,5202.858333,5.20286E+12,,
2002,653.9599167,1196.683333,5590.35,5.59035E+12,,
2003,693.5033333,1274.066667,5980.191667,5.98019E+12,,
2004,729.3506667,1344.583333,6265.616667,6.26562E+12,,
2005,761.86775,1372.158333,6533.766667,6.53377E+12,,
2006,794.0215833,1375.166667,6875.625,6.87563E+12,,
2007,811.7314167,1373.058333,7295.883333,7.29588E+12,,
2008,832.3643333,1434.733333,7788.008333,7.78801E+12,,
2009,907.3975833,1638.141667,8413.1,8.4131E+12,,
2010,945.6419167,1742.625,8623.725,8.62373E+12,,
2011,1023.447167,2010.208333,9253.358333,9.25336E+12,,
2012,1112.7995,2315.283333,10047.65833,1.00477E+13,,
2013,1193.20175,2549.616667,10724.63333,1.07246E+13,,
2014,1279.127417,2815.05,11386.475,1.13865E+13,,
2015,1371.52375,3021.833333,12042.40833,1.20424E+13,,
2016,1457.525,3248.525,12858.69167,1.28587E+13,,
2017,1555.442667,3523.916667,13591.45833,1.35915E+13,,
2018,1661.464,3680.383333,14116.4,1.41164E+13,,
2019,1745.099167,3844.291667,14836.43333,1.48364E+13,,
2020,1947.410083,12792.91667,17677.11667,1.76771E+13,,